[Person #79, Arrival Time: 30.615343126035373, Departure Time: 35.33078849490619, Wait Time: 4.715445368870814, Time Boarded Lift: 33.83078849490619, Walker: False]
[Person #80, Arrival Time: 30.934662964883753, Departure Time: 35.33078849490619, Wait Time: 4.3961255300224344, Time Boarded Lift: 33.83078849490619, Walker: False]
[Person #81, Arrival Time: 30.967087271073588, Departure Time: 35.33078849490619, Wait Time: 4.363701223832599, Time Boarded Lift: 33.83078849490619, Walker: False]
[Person #82, Arrival Time: 24.40904164841592, Departure Time: 36.33078849490619, Wait Time: 11.921746846490269, Time Boarded Lift: 26.83078849490619, Walker: False]
[Person #83, Arrival Time: 27.85148671083679, Departure Time: 36.33078849490619, Wait Time: 8.479301784069396, Time Boarded Lift: 30.33078849490619, Walker: False]
[Person #84, Arrival Time: 30.567274459844477, Departure Time: 36.33078849490619, Wait Time: 5.763514035061711, Time Boarded Lift: 33.83078849490619, Walker: False]
[Person #85, Arrival Time: 30.960121611757092, Departure Time: 36.33078849490619, Wait Time: 5.370666883149095, Time Boarded Lift: 33.83078849490619, Walker: False]
[Person #0, Arrival Time: 36.89321421275549, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #86, Arrival Time: 34.357424041903684, Departure Time: 37.33078849490619, Wait Time: 2.973364453002503, Time Boarded Lift: 37.33078849490619, Walker: False]
[Person #87, Arrival Time: 34.708468978440365, Departure Time: 37.33078849490619, Wait Time: 2.622319516465822, Time Boarded Lift: 37.33078849490619, Walker: False]
[Person #88, Arrival Time: 30.889637423655337, Departure Time: 38.83078849490619, Wait Time: 7.94115107125085, Time Boarded Lift: 33.83078849490619, Walker: False]
[Person #89, Arrival Time: 34.636457408457574, Departure Time: 38.83078849490619, Wait Time: 4.194331086448614, Time Boarded Lift: 37.33078849490619, Walker: False]
[Person #90, Arrival Time: 34.980592969146116, Departure Time: 38.83078849490619, Wait Time: 3.8501955257600713, Time Boarded Lift: 37.33078849490619, Walker: False]
[Person #91, Arrival Time: 35.76774402052319, Departure Time: 38.83078849490619, Wait Time: 3.0630444743829983, Time Boarded Lift: 37.33078849490619, Walker: False]
[Person #92, Arrival Time: 27.1611593209605, Departure Time: 39.83078849490619, Wait Time: 12.669629173945687, Time Boarded Lift: 30.33078849490619, Walker: False]
[Person #93, Arrival Time: 34.38594390723394, Departure Time: 39.83078849490619, Wait Time: 5.44484458767225, Time Boarded Lift: 37.33078849490619, Walker: False]
[Person #94, Arrival Time: 34.868410396576195, Departure Time: 39.83078849490619, Wait Time: 4.962378098329992, Time Boarded Lift: 37.33078849490619, Walker: False]
[Person #0, Arrival Time: 37.12362201406336, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 38.966328298416876, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 39.95688880945085, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 40.17371894334761, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #95, Arrival Time: 37.643241013331114, Departure Time: 40.83078849490619, Wait Time: 3.1875474815750735, Time Boarded Lift: 40.83078849490619, Walker: False]
[Person #96, Arrival Time: 37.68674864970059, Departure Time: 40.83078849490619, Wait Time: 3.1440398452055973, Time Boarded Lift: 40.83078849490619, Walker: False]
[Person #97, Arrival Time: 34.83305381353546, Departure Time: 42.33078849490619, Wait Time: 7.49773468137073, Time Boarded Lift: 37.33078849490619, Walker: False]
[Person #98, Arrival Time: 37.67208186611845, Departure Time: 42.33078849490619, Wait Time: 4.6587066287877406, Time Boarded Lift: 40.83078849490619, Walker: False]
[Person #99, Arrival Time: 38.139402546191505, Departure Time: 42.33078849490619, Wait Time: 4.191385948714682, Time Boarded Lift: 40.83078849490619, Walker: False]
[Person #100, Arrival Time: 38.75454599990328, Departure Time: 42.33078849490619, Wait Time: 3.5762424950029086, Time Boarded Lift: 40.83078849490619, Walker: False]
[Person #101, Arrival Time: 30.338784390915293, Departure Time: 43.33078849490619, Wait Time: 12.992004103990894, Time Boarded Lift: 33.83078849490619, Walker: False]
[Person #102, Arrival Time: 37.431976590606055, Departure Time: 43.33078849490619, Wait Time: 5.898811904300132, Time Boarded Lift: 40.83078849490619, Walker: False]
[Person #103, Arrival Time: 38.048253394307395, Departure Time: 43.33078849490619, Wait Time: 5.282535100598793, Time Boarded Lift: 40.83078849490619, Walker: False]
[Person #0, Arrival Time: 38.943369500712215, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 40.028263460323224, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 41.56568872604703, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 42.37687567912326, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 44.050071011332946, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #104, Arrival Time: 41.10201068810888, Departure Time: 44.33078849490619, Wait Time: 3.2287778067973107, Time Boarded Lift: 44.33078849490619, Walker: False]
[Person #105, Arrival Time: 41.34653542652168, Departure Time: 44.33078849490619, Wait Time: 2.984253068384504, Time Boarded Lift: 44.33078849490619, Walker: False]
[Person #106, Arrival Time: 41.459506069720824, Departure Time: 44.33078849490619, Wait Time: 2.8712824251853633, Time Boarded Lift: 44.33078849490619, Walker: False]
[Person #107, Arrival Time: 35.504868669594536, Departure Time: 45.83078849490619, Wait Time: 10.32591982531165, Time Boarded Lift: 37.33078849490619, Walker: False]
[Person #108, Arrival Time: 40.87610987758859, Departure Time: 45.83078849490619, Wait Time: 4.954678617317597, Time Boarded Lift: 44.33078849490619, Walker: False]
[Person #109, Arrival Time: 41.50519004491193, Departure Time: 45.83078849490619, Wait Time: 4.32559844999426, Time Boarded Lift: 44.33078849490619, Walker: False]
[Person #110, Arrival Time: 41.56515718639357, Departure Time: 45.83078849490619, Wait Time: 4.265631308512617, Time Boarded Lift: 44.33078849490619, Walker: False]
[Person #111, Arrival Time: 38.59923078329447, Departure Time: 46.83078849490619, Wait Time: 8.231557711611714, Time Boarded Lift: 40.83078849490619, Walker: False]
[Person #112, Arrival Time: 41.39642962992915, Departure Time: 46.83078849490619, Wait Time: 5.434358864977035, Time Boarded Lift: 44.33078849490619, Walker: False]
